#{"t_start": 1624983331.267748, "env_id": "PandaReach-v1"}
r,l,t
-50.0,50,0.193017
-50.0,50,0.33312
-50.0,50,0.475646
-50.0,50,0.615753
-50.0,50,0.760394
-50.0,50,0.902842
-50.0,50,1.018351
-50.0,50,1.123213
-50.0,50,1.221692
-50.0,50,1.331985
-50.0,50,1.438741
-50.0,50,1.541883
-50.0,50,1.663881
-47.0,50,1.771921
-50.0,50,1.877069
-50.0,50,2.004865
-50.0,50,2.139574
-50.0,50,2.276515
-40.0,50,2.413458
-46.0,50,2.551352
-50.0,50,3.221479
-50.0,50,3.743337
-50.0,50,4.257933
-50.0,50,4.774904
-50.0,50,5.300927
-50.0,50,5.84514
-50.0,50,6.53357
-50.0,50,7.120605
-50.0,50,7.884014
-50.0,50,8.483077
-50.0,50,9.023954
-50.0,50,9.599443
-50.0,50,10.189753
-49.0,50,10.704985
-50.0,50,11.233555
-50.0,50,11.827814
-50.0,50,12.333448
-50.0,50,12.833036
-50.0,50,13.422163
-50.0,50,14.257442
-50.0,50,15.07097
-48.0,50,15.810153
-50.0,50,16.545864
-44.0,50,17.265511
-50.0,50,17.998478
-50.0,50,18.7317
-50.0,50,19.441916
-50.0,50,20.164188
-50.0,50,20.951447
-49.0,50,21.662077
-50.0,50,22.395565
-49.0,50,23.129123
-50.0,50,23.855738
-22.0,50,24.582649
-50.0,50,25.301299
-50.0,50,26.026484
-50.0,50,26.759268
-50.0,50,27.496601
-50.0,50,28.19886
-50.0,50,28.922227
-50.0,50,29.627545
-50.0,50,30.352044
-50.0,50,31.071095
-50.0,50,31.80342
-50.0,50,32.498794
-50.0,50,33.211207
-50.0,50,33.926307
-50.0,50,34.643468
-50.0,50,35.353037
-49.0,50,36.0687
-50.0,50,36.786838
-50.0,50,37.49272
-50.0,50,38.214678
-50.0,50,38.913842
-50.0,50,39.624536
-42.0,50,40.35153
-40.0,50,41.061379
-50.0,50,41.767654
-50.0,50,42.473368
-50.0,50,43.17589
-50.0,50,43.870404
-48.0,50,44.574234
-50.0,50,45.291211
-48.0,50,45.994041
-50.0,50,46.700445
-22.0,50,47.443745
-6.0,50,48.289678
-50.0,50,49.020916
-47.0,50,49.736753
-14.0,50,50.455162
-26.0,50,51.187481
-31.0,50,51.938885
-45.0,50,52.676373
-40.0,50,53.403314
-3.0,50,54.131025
-18.0,50,54.829463
-11.0,50,55.542457
-9.0,50,56.245559
-3.0,50,56.968144
-15.0,50,57.6709
-5.0,50,60.668725
-11.0,50,61.389613
-24.0,50,62.150817
-4.0,50,62.945473
-3.0,50,63.679139
-2.0,50,64.380718
-1.0,50,65.090019
-6.0,50,65.790468
-5.0,50,66.501641
-3.0,50,67.220999
-4.0,50,67.948837
-4.0,50,68.676905
-3.0,50,69.39089
-4.0,50,70.151909
-2.0,50,70.92271
-4.0,50,71.704892
-6.0,50,72.446029
-3.0,50,73.199123
-5.0,50,73.94313
-3.0,50,74.676106
-1.0,50,75.409057
-7.0,50,76.147168
-5.0,50,76.852391
-3.0,50,77.597735
-5.0,50,78.341851
-6.0,50,79.078733
-2.0,50,79.803987
-2.0,50,80.533319
-2.0,50,81.251627
-2.0,50,81.965141
-2.0,50,82.675627
-6.0,50,83.39458
-5.0,50,84.115299
-4.0,50,84.831234
-4.0,50,85.573418
-2.0,50,86.287715
-4.0,50,87.00432
-2.0,50,87.730692
-3.0,50,88.456422
-3.0,50,89.180627
-3.0,50,89.916146
-1.0,50,90.641843
-3.0,50,91.367767
-1.0,50,92.078604
-1.0,50,92.79436
-2.0,50,93.520395
-3.0,50,94.253142
0.0,50,94.980798
0.0,50,95.769797
-1.0,50,96.510775
-2.0,50,97.231409
0.0,50,97.946167
-3.0,50,98.684862
-3.0,50,99.40569
-1.0,50,100.136616
-3.0,50,100.858668
-5.0,50,101.592908
-4.0,50,102.309744
-2.0,50,103.024138
0.0,50,103.745321
-2.0,50,104.468964
-1.0,50,105.208372
-3.0,50,105.92713
-2.0,50,106.644832
0.0,50,107.360486
-1.0,50,108.068927
-3.0,50,108.796346
-3.0,50,109.52066
-2.0,50,110.246558
-2.0,50,110.977123
-5.0,50,111.69453
-3.0,50,112.450118
-2.0,50,113.171258
-2.0,50,113.902656
-2.0,50,114.613513
0.0,50,115.338423
-1.0,50,116.072351
-3.0,50,116.799552
-2.0,50,117.51882
-3.0,50,118.23102
-2.0,50,118.963092
-2.0,50,119.693477
-5.0,50,120.417901
-3.0,50,121.144675
-2.0,50,121.869865
-2.0,50,122.59976
-2.0,50,123.315277
-3.0,50,124.041396
-2.0,50,124.770513
-4.0,50,125.485249
-2.0,50,126.217196
-2.0,50,126.937801
-2.0,50,127.650236
-1.0,50,128.377988
-3.0,50,129.110161
-1.0,50,129.837416
-1.0,50,130.563324
-3.0,50,131.274789
-1.0,50,131.995115
-3.0,50,132.708976
-3.0,50,135.741822
-2.0,50,136.520438
-2.0,50,137.284875
-5.0,50,138.038352
-3.0,50,138.796091
-2.0,50,139.542158
-2.0,50,140.293673
0.0,50,141.029632
-2.0,50,142.111408
-2.0,50,143.030607
-2.0,50,143.896353
-2.0,50,144.761685
-1.0,50,145.541149
-2.0,50,146.283099
-3.0,50,147.029217
-2.0,50,147.770441
-2.0,50,148.506865
-3.0,50,149.254402
-1.0,50,150.009192
-1.0,50,150.752461
-1.0,50,151.501615
-2.0,50,152.236815
-2.0,50,152.946064
0.0,50,153.680458
-2.0,50,154.403552
0.0,50,155.134149
-2.0,50,155.860108
-1.0,50,156.589863
-4.0,50,157.321421
-3.0,50,158.05073
-2.0,50,158.782984
-2.0,50,159.505713
-2.0,50,160.244861
-2.0,50,160.987983
-2.0,50,161.707
-3.0,50,162.442158
-2.0,50,163.181761
-1.0,50,163.935126
-1.0,50,164.656012
-4.0,50,165.383662
-1.0,50,166.108916
-3.0,50,166.833356
-1.0,50,167.5569
-2.0,50,168.28663
-2.0,50,169.010965
-1.0,50,169.747913
-2.0,50,170.479097
-1.0,50,171.200338
-3.0,50,171.927773
-4.0,50,172.677686
-4.0,50,173.405164
-1.0,50,174.115904
-3.0,50,174.854275
-3.0,50,175.582961
-2.0,50,176.290435
-1.0,50,177.089828
0.0,50,178.141438
-2.0,50,178.976212
-3.0,50,179.762704
0.0,50,180.577785
-2.0,50,181.379408
-1.0,50,182.153913
-2.0,50,182.930281
-3.0,50,183.683632
-3.0,50,184.435165
-1.0,50,185.172589
-2.0,50,185.941087
-2.0,50,186.713206
-2.0,50,187.46868
-2.0,50,188.218707
-2.0,50,188.971581
0.0,50,189.729367
-1.0,50,190.502218
-2.0,50,191.37058
-1.0,50,192.149636
0.0,50,192.908628
-3.0,50,193.668664
-1.0,50,194.418744
-2.0,50,195.172384
-1.0,50,196.110737
-3.0,50,197.120949
-1.0,50,197.900938
-2.0,50,198.652056
-2.0,50,199.409104
-2.0,50,200.237669
-1.0,50,201.047009
-2.0,50,201.78406
-1.0,50,202.508762
-1.0,50,203.226223
-3.0,50,203.938657
-2.0,50,204.656423
-1.0,50,205.379471
-2.0,50,206.11632
-2.0,50,206.841199
-1.0,50,207.561365
-2.0,50,208.283766
-1.0,50,209.006895
-3.0,50,209.790263
-3.0,50,210.508657
-1.0,50,211.231926
-2.0,50,214.206082
-1.0,50,215.184412
-3.0,50,215.993044
-1.0,50,216.734426
-3.0,50,217.527935
-3.0,50,218.251569
-3.0,50,218.987087
0.0,50,219.751637
-3.0,50,220.553855
-3.0,50,221.389329
-3.0,50,222.200149
-1.0,50,222.963784
0.0,50,223.751179
-1.0,50,224.595314
-2.0,50,225.372784
-2.0,50,226.122302
-2.0,50,226.853632
-1.0,50,227.591352
-2.0,50,228.3155
-2.0,50,229.053018
-2.0,50,229.79697
-1.0,50,230.539156
-3.0,50,231.267128
-2.0,50,232.005292
-4.0,50,232.73609
-2.0,50,233.462754
-1.0,50,234.188706
0.0,50,234.912958
-1.0,50,235.649138
-3.0,50,236.388028
-3.0,50,237.132857
-2.0,50,237.866288
0.0,50,238.595428
-2.0,50,239.501185
-2.0,50,240.273754
-2.0,50,241.011063
-1.0,50,241.73795
-1.0,50,242.467232
-1.0,50,243.187814
-2.0,50,243.916337
-2.0,50,244.652077
-2.0,50,245.375039
-1.0,50,246.127272
-2.0,50,246.866609
-2.0,50,247.617497
-3.0,50,248.421817
-3.0,50,249.192322
-3.0,50,249.925859
-1.0,50,250.652649
-2.0,50,251.386393
-4.0,50,252.116107
-2.0,50,252.846033
-2.0,50,253.575198
-1.0,50,254.299841
-2.0,50,255.052016
-2.0,50,255.826532
-3.0,50,256.56871
-2.0,50,257.294152
-1.0,50,258.010546
-2.0,50,258.736849
-1.0,50,259.464261
-3.0,50,260.186006
-2.0,50,260.924566
-2.0,50,261.647617
-2.0,50,262.365591
-2.0,50,263.091925
-1.0,50,263.808885
-2.0,50,264.551692
-2.0,50,265.279529
-2.0,50,265.9995
-3.0,50,266.726934
-3.0,50,267.451621
-2.0,50,268.18766
-2.0,50,268.910537
-3.0,50,269.629536
-1.0,50,270.35577
-1.0,50,271.089083
-2.0,50,271.876602
-4.0,50,272.970254
-3.0,50,273.77942
-2.0,50,274.55023
-2.0,50,275.29968
-2.0,50,276.049195
-4.0,50,276.818877
-2.0,50,277.637999
-2.0,50,278.427528
-1.0,50,279.194768
-2.0,50,279.968575
-3.0,50,280.992167
-3.0,50,281.844758
-2.0,50,282.675713
-2.0,50,283.499139
-2.0,50,284.29298
-2.0,50,285.148612
0.0,50,285.985452
-2.0,50,286.76769
-3.0,50,287.592678
-2.0,50,288.335014
-3.0,50,289.146631
-1.0,50,289.900386
